borrower_id,age,borrower_type,state,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,default_probability,defaulted,avg_income,income_std,income_growth,income_stability_score,utility_payment_rate,rent_reliability_rate,payment_reliability_score,mobile_years,digital_trust_score
B00012,28,migrant,Tamil Nadu,3,26841.43,34249.03,27491.53,28000.69,27906.53,38184.43,self-employed,15,3,75.0,2833.71,0.0,1.0,5,10,14.0,15.0,2019.0,566.93,2.01,10.0,0.273,0.5631560835049167,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,380100.0,business,13,0.3522,0,30445.606666666663,4658.252931310908,42.259298405487336,84.69975329343333,0.5,0.9333333333333333,71.66666666666667,7.0,49.469245107176135
B00013,26,gig,Telangana,2,18760.6,25189.65,11624.02,20743.38,17026.42,36033.27,salaried-gig,10,2,15.7,815.63,0.0,0.0,5,19,6.0,16.0,2023.0,539.06,1.0,6.3,0.411,0.0787312507554056,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,157000.0,business,27,0.5783,0,21562.89,8371.74304746628,92.0688570728015,61.17522721923508,0.2631578947368421,0.375,31.907894736842103,3.0,7.851100437307334
B00014,37,gig,Telangana,5,11236.16,24815.6,24000.27,21579.6,30463.07,28129.85,daily-wage,20,3,94.0,1841.91,15.0,1.0,3,21,8.0,19.0,2019.0,433.7,1.28,6.4,0.232,0.7864751489006991,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,100700.0,business,41,0.5248,0,23370.758333333335,6721.464357347784,150.35109859596162,71.23985340363959,0.14285714285714285,0.42105263157894735,28.19548872180451,7.0,63.33739792360482
B00015,33,gig,Maharashtra,3,23696.95,17450.73,30537.26,33089.04,21298.47,25092.56,salaried-gig,11,2,43.7,1333.56,2.0,1.0,8,21,5.0,10.0,2021.0,603.44,0.98,1.6,0.451,0.8031780552398533,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,98600.0,medical,21,0.4023,0,25194.168333333335,5801.153625083261,5.8894077085869725,76.97422058815094,0.38095238095238093,0.5,44.047619047619044,5.0,35.19477012580461
B00016,54,rural,Bihar,7,9584.11,11447.87,21535.99,12172.5,11308.29,16794.31,seasonal,26,2,0.0,0.0,0.0,0.0,2,15,0.0,0.0,2019.0,243.28,1.36,0.0,0.0,0.5221343488601424,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,146900.0,business,17,0.5287,0,13807.178333333335,4493.879025707821,75.23077260173349,67.45258939070351,0.13333333333333333,0.13333333333333333,13.333333333333334,7.0,11.000000000000002
B00017,34,migrant,Tamil Nadu,3,27304.17,21816.71,22467.87,26065.06,22645.83,20799.61,daily-wage,13,3,0.0,1897.6,0.0,1.0,8,20,13.0,18.0,2019.0,530.21,2.12,13.1,0.198,0.8147550588170409,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,134900.0,consumption,10,0.4903,0,23516.541666666668,2567.881248581535,-23.822588271315325,89.08053197200609,0.4,0.7222222222222222,56.111111111111114,7.0,28.923076923076923
B00018,53,rural,Rajasthan,5,10121.92,9234.85,19754.09,13051.16,8215.76,17729.39,seasonal,26,2,34.8,1934.37,8.0,0.0,12,19,0.0,0.0,2019.0,172.39,0.76,3.9,0.311,0.471027530833996,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,339300.0,agriculture,43,0.5294,0,13017.86166666667,4760.970825314587,75.1583691631627,63.427397315909005,0.631578947368421,0.631578947368421,63.1578947368421,7.0,24.482643482643482
B00019,34,rural,Rajasthan,4,16059.74,16868.4,31314.41,11848.91,14302.83,26797.03,seasonal,38,3,64.1,2566.92,18.0,0.0,11,20,9.0,16.0,2017.0,359.49,1.99,0.0,0.0,0.5221343488601424,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,204100.0,consumption,32,0.4087,0,19531.88666666667,7708.84286435433,66.85842983759387,60.53201108569647,0.55,0.5625,55.625,9.0,48.058078454630184
B00020,39,gig,Maharashtra,2,31595.07,44795.38,21358.07,29439.7,34568.72,43500.62,salaried-gig,23,3,50.6,2692.9,20.0,0.0,8,9,16.0,22.0,2017.0,587.51,2.22,7.1,0.154,0.8450793028251683,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,170900.0,business,34,0.2332,0,34209.59333333333,8868.599601907094,37.68166995673693,74.07569416130517,0.8888888888888888,0.7272727272727273,80.8080808080808,9.0,46.68338123510537
B00021,42,rural,Bihar,4,7937.03,7463.84,15983.82,8261.84,9516.72,16626.97,seasonal,18,2,39.6,1144.59,6.0,0.0,3,6,8.0,16.0,2020.0,352.34,1.05,0.0,0.0,0.5221343488601424,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,369800.0,business,36,0.6086,1,10965.036666666667,4197.08877856386,109.48604200815673,61.72298455396081,0.5,0.5,50.0,6.0,23.88644673127432
B00022,32,gig,Tamil Nadu,3,30923.9,17756.18,39771.53,46545.52,34856.15,24447.42,salaried-gig,24,4,99.2,2746.53,17.0,1.0,6,7,0.0,0.0,2013.0,678.33,2.48,10.6,0.172,0.960336453201966,4.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,81800.0,agriculture,54,0.4057,0,32383.45,10395.480595697343,-20.943283350418294,67.89878596722293,0.8571428571428571,0.8571428571428571,85.71428571428571,13.0,80.15257094567438
B00023,46,rural,Rajasthan,6,17627.53,14945.63,30824.53,12299.95,17086.2,18426.04,self-employed,45,3,0.0,0.0,0.0,0.0,7,10,0.0,0.0,2014.0,410.71,2.1,12.8,0.25,0.8019119869327607,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,25000.0,business,45,0.4462,0,18534.98,6414.458178839424,4.529902941591942,65.39268896519216,0.7,0.7,70.0,12.0,21.53846153846154
B00024,48,rural,Rajasthan,5,10910.59,8132.3,15017.27,10792.34,7836.42,16367.25,seasonal,30,2,35.3,1360.24,5.0,0.0,5,15,4.0,11.0,2019.0,315.58,1.18,0.0,0.0,0.5221343488601424,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,213400.0,education,14,0.5937,1,11509.361666666666,3512.041955919187,50.0125107808102,69.48534542892384,0.3333333333333333,0.36363636363636365,34.84848484848485,7.0,23.965095792682
B00025,46,rural,Uttar Pradesh,4,8212.95,8548.53,19380.97,8285.4,12128.06,14961.64,seasonal,30,2,0.0,0.0,0.0,0.0,2,16,1.0,6.0,2017.0,227.16,0.99,5.4,0.357,0.2510967756516081,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,428100.0,consumption,39,0.8293,1,11919.591666666667,4544.893442471085,82.17132698969309,61.870393134515226,0.125,0.16666666666666666,14.583333333333332,9.0,12.653846153846155
B00026,32,gig,Maharashtra,2,21565.51,24353.47,34842.31,48331.99,45935.06,37025.6,daily-wage,25,4,75.1,2280.21,30.0,1.0,6,19,16.0,16.0,2012.0,719.99,2.52,11.2,0.16,0.3801150910322958,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,27400.0,medical,44,0.2281,0,35342.323333333334,10904.828536694497,71.68896075260915,69.14512825360993,0.3157894736842105,1.0,65.78947368421053,14.0,84.95524605869434
B00027,40,rural,Madhya Pradesh,5,13060.8,18404.84,29612.99,18663.42,14849.41,29747.31,seasonal,51,2,83.2,2790.96,20.0,0.0,11,21,9.0,14.0,2014.0,456.02,2.08,0.0,0.0,0.5221343488601424,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,78400.0,agriculture,19,0.3287,0,20723.128333333334,7256.64105447532,127.76024439544287,64.98288801887624,0.5238095238095238,0.6428571428571429,58.333333333333336,12.0,59.874936185281015
B00028,28,rural,Odisha,4,12961.67,12274.38,23156.42,9284.55,12941.67,20563.74,seasonal,26,2,56.9,1369.64,4.0,0.0,5,17,4.0,11.0,2020.0,218.35,1.56,4.8,0.347,0.4076719172056429,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,237300.0,business,28,0.4577,0,15197.071666666669,5398.819337927198,58.650389957466906,64.47460763267311,0.29411764705882354,0.36363636363636365,32.887700534759354,6.0,29.169739549049893
B00029,54,rural,Madhya Pradesh,6,8420.22,15566.92,24315.57,10747.74,11905.14,18602.77,daily-wage,28,2,41.0,1578.68,11.0,0.0,5,12,6.0,15.0,2019.0,360.01,1.37,0.0,0.0,0.5221343488601424,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,456700.0,business,40,0.5319,0,14926.393333333333,5848.111919440895,120.92973817786236,60.82032820091238,0.4166666666666667,0.4,40.833333333333336,7.0,30.834982197051165
B00030,24,gig,Telangana,3,35821.01,21777.73,40182.99,39790.28,40646.13,32250.89,salaried-gig,16,2,45.9,2272.63,14.0,1.0,14,22,8.0,11.0,2021.0,620.25,2.07,3.7,0.22,0.8138701819855555,2.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,49100.0,consumption,35,0.2797,0,35078.17166666667,7276.1579711229915,-9.966553148557237,79.25730553956657,0.6363636363636364,0.7272727272727273,68.18181818181819,5.0,49.09308476549857
B00031,26,migrant,Tamil Nadu,1,29740.9,34671.91,25329.1,36976.32,27768.71,39123.01,salaried-gig,13,3,71.7,2365.2,15.0,1.0,13,16,7.0,7.0,2017.0,599.49,2.62,10.2,0.101,0.9262421854042102,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,327000.0,business,23,0.1094,0,32268.325,5472.045323294574,31.546153613374173,83.04205339665268,0.8125,1.0,90.625,9.0,65.33331160917368
B00032,22,migrant,Gujarat,2,27659.96,29939.62,26652.66,23182.37,27207.85,33084.11,daily-wage,6,3,59.3,2299.05,10.0,0.0,9,13,17.0,21.0,2022.0,671.29,2.45,9.6,0.317,0.4161913389356915,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,197200.0,business,16,0.4142,0,27954.428333333333,3327.6373688334293,19.610115126703008,88.09620669342932,0.6923076923076923,0.8095238095238095,75.0915750915751,4.0,34.73236378408792
B00033,47,rural,Odisha,5,10265.71,10127.49,22255.9,11673.89,11960.81,20455.75,daily-wage,25,3,0.0,0.0,0.0,0.0,4,8,1.0,12.0,2018.0,176.26,0.92,4.5,0.361,0.7041962717904342,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,180200.0,business,47,0.705,1,14456.591666666667,5423.948308464663,99.26288585981877,62.48114055146934,0.5,0.08333333333333333,29.166666666666668,8.0,10.846153846153847
B00034,33,gig,Telangana,2,30199.05,20231.93,25841.42,26205.66,21829.12,17450.38,daily-wage,15,2,32.7,1381.88,14.0,0.0,2,16,0.0,0.0,2020.0,447.86,1.2,2.2,0.392,0.206724804963875,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,323000.0,consumption,27,0.5248,0,23626.26,4640.139839974653,-42.21546704283743,80.3602438982105,0.125,0.125,12.5,6.0,28.59480531894325
B00035,22,migrant,Karnataka,1,34324.43,31836.51,34365.21,36736.46,29636.83,39896.64,self-employed,24,4,0.0,2856.77,32.0,0.0,11,11,17.0,19.0,2021.0,825.32,3.31,14.0,0.176,0.8992003508764623,5.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,444300.0,medical,36,0.0934,0,34466.013333333336,3603.1136717603936,16.233947657688706,89.54589369848675,1.0,0.8947368421052632,94.73684210526316,5.0,38.85780885780886
B00036,51,rural,Bihar,7,10664.38,14141.81,20548.6,16545.99,17432.27,29360.73,self-employed,30,3,0.0,0.0,0.0,0.0,8,21,3.0,7.0,2015.0,386.57,2.04,0.0,0.0,0.5221343488601424,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,286100.0,education,36,0.5714,0,18115.63,6428.292768768391,175.31586458847116,64.51521272642249,0.38095238095238093,0.42857142857142855,40.476190476190474,11.0,19.76923076923077
B00037,28,gig,Maharashtra,3,20831.02,48651.24,2000.0,29240.11,56586.76625,35720.21,salaried-gig,30,4,88.0,2574.81,27.0,0.0,7,8,0.0,0.0,2017.0,567.62,2.3,7.1,0.195,0.6941653469241444,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,389500.0,business,23,0.4084,0,32171.55770833333,19635.67847252856,71.47604870044769,38.965720433728414,0.875,0.875,87.5,9.0,62.75076740593981
B00038,34,rural,Madhya Pradesh,6,5405.71,6779.43,9555.3,6729.57,7382.24,12003.28,seasonal,10,1,5.4,964.18,6.0,0.0,0,16,0.0,14.0,2023.0,348.6,1.09,0.0,0.0,0.5221343488601424,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,29500.0,medical,57,0.4562,0,7975.921666666666,2394.054376286526,122.04816758575656,69.98397832451306,0.0,0.0,0.0,3.0,9.862932500863536
B00039,30,rural,Madhya Pradesh,7,14055.22,13426.42,19888.65,10733.02,10683.46,24740.96,self-employed,29,2,0.0,0.0,0.0,0.0,9,19,11.0,23.0,2018.0,295.44,1.94,0.0,0.0,0.5221343488601424,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,123800.0,business,38,0.5293,0,15587.954999999996,5602.132686910406,76.02684269616556,64.06114408907129,0.47368421052631576,0.4782608695652174,47.59725400457666,8.0,14.76923076923077
B00040,25,gig,Tamil Nadu,2,43234.31,41689.04,25920.62,31331.61,22144.12,27554.32,daily-wage,16,4,38.0,1839.8,0.0,0.0,4,8,10.0,22.0,2019.0,593.22,2.07,6.9,0.261,0.4431484269827556,2.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,210900.0,medical,50,0.4299,0,31979.003333333338,8653.237772659819,-36.26746905409153,72.94087722977874,0.5,0.45454545454545453,47.72727272727273,7.0,24.35518675173848
B00041,23,migrant,Tamil Nadu,3,26508.16,28738.98,25651.55,23844.45,27010.5,28703.03,daily-wage,12,3,42.3,0.0,12.0,1.0,12,20,7.0,22.0,2021.0,508.19,1.96,8.4,0.231,0.7122148439251975,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,359800.0,consumption,42,0.4357,0,26742.778333333335,1873.2439642013169,8.279978693353288,92.9953277821309,0.6,0.3181818181818182,45.909090909090914,5.0,46.14833256212566
B00042,36,gig,Maharashtra,5,31711.8,19678.98,40414.03,43576.53,50169.09,36334.57,self-employed,26,4,62.6,2334.91,25.0,0.0,17,23,7.0,9.0,2015.0,652.79,1.74,12.7,0.294,0.7065452548669278,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,108200.0,consumption,38,0.118,0,36980.833333333336,10552.295154216765,14.577444358251505,71.46550198287375,0.7391304347826086,0.7777777777777778,75.84541062801932,11.0,55.05710847090157
B00043,28,gig,Karnataka,2,9091.97,17843.74,32511.34,15947.69,34965.54,21727.26,self-employed,9,2,14.7,1178.27,0.0,0.0,0,8,1.0,17.0,2020.0,443.33,0.93,5.1,0.403,0.2450509999983619,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,138800.0,consumption,59,0.5727,0,22014.59,9991.88468699274,138.97197197087098,54.61244253473383,0.0,0.058823529411764705,2.941176470588235,6.0,11.917664348698832
B00044,26,gig,Delhi,3,13779.08,27254.88,15950.81,20566.69,19530.32,28569.85,salaried-gig,15,2,21.2,806.21,17.0,0.0,4,24,4.0,16.0,2020.0,445.1,1.14,2.1,0.448,0.5873387644982075,1.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,39700.0,business,11,0.5188,0,20941.938333333335,5939.522675351671,107.3422173323618,71.63814265512511,0.16666666666666666,0.25,20.833333333333332,6.0,27.421479111134282
B00045,53,rural,Bihar,4,11052.12,10861.63,16063.16,13469.21,12284.03,27210.82,seasonal,36,2,0.0,0.0,0.0,0.0,8,13,0.0,0.0,2018.0,313.14,2.04,0.0,0.0,0.5221343488601424,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,61300.0,business,35,0.486,0,15156.828333333333,6205.135571725783,146.20452908582243,59.06046149457753,0.6153846153846154,0.6153846153846154,61.53846153846154,8.0,15.153846153846155
B00046,50,rural,Uttar Pradesh,4,16873.64,13652.62,25589.86,15008.71,16568.58,34670.66,self-employed,45,4,0.0,0.0,0.0,0.0,20,23,16.0,19.0,2013.0,527.06,2.35,0.0,0.0,0.5221343488601424,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,454600.0,agriculture,48,0.3399,0,20394.01166666667,8152.230459069266,105.47232251014012,60.026351890374684,0.8695652173913043,0.8421052631578947,85.58352402745994,13.0,24.03846153846154
B00047,40,gig,Tamil Nadu,3,52960.3,35319.45,49516.31625,48993.42,40746.95,50970.34625,daily-wage,27,3,80.8,2267.66,16.0,1.0,11,21,15.0,18.0,2015.0,576.25,2.73,10.8,0.228,0.5674227593219672,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,212100.0,medical,56,0.2758,0,46417.79708333334,6857.06230669158,-3.7574442554139615,85.22751457941622,0.5238095238095238,0.8333333333333334,67.85714285714286,11.0,72.13515577308681
B00048,40,gig,Maharashtra,2,32336.79,18637.87,21885.17,27421.82,15269.76,20246.92,salaried-gig,10,2,47.3,1263.96,13.0,1.0,12,22,0.0,0.0,2019.0,586.32,0.54,6.1,0.361,0.3515480041679598,3.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,268900.0,medical,8,0.5301,0,22633.054999999997,6221.371743082872,-37.38735353756512,72.51201067163548,0.5454545454545454,0.5454545454545454,54.54545454545454,7.0,45.91924260889778
B00049,51,rural,Madhya Pradesh,7,11936.84,12547.35,25963.5,14245.05,10247.45,18632.34,daily-wage,32,1,0.0,0.0,0.0,0.0,9,16,0.0,0.0,2016.0,394.33,1.93,0.0,0.0,0.5221343488601424,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,476900.0,medical,56,0.3775,0,15595.421666666667,5827.867304115346,56.0910592753191,62.630909066269695,0.5625,0.5625,56.25,10.0,17.807692307692307
B00050,31,gig,Maharashtra,2,6855.7,26356.29,25345.37,20879.88,28990.46,30369.32,self-employed,24,3,63.1,1861.05,16.0,1.0,8,21,19.0,23.0,2017.0,491.7,2.22,7.7,0.269,0.7446594662495751,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,438800.0,business,59,0.3738,0,23132.83666666667,8625.374068402289,300.0,62.71372079140192,0.38095238095238093,0.8260869565217391,60.35196687370601,9.0,62.14795238933169
B00051,27,gig,Karnataka,4,16004.77,47508.43,22307.36,42199.05,29990.1,50970.34625,self-employed,22,4,45.8,1667.22,16.0,1.0,4,9,8.0,23.0,2019.0,570.85,2.12,0.0,0.0,0.5221343488601424,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,223600.0,education,27,0.3939,0,34830.009375,14213.983898747472,218.46972027714236,59.190410356450066,0.4444444444444444,0.34782608695652173,39.61352657004831,7.0,53.84950805640461
B00052,33,migrant,Maharashtra,1,23383.8,19025.42,15627.23,15797.63,27942.42,22673.88,daily-wage,7,2,10.9,1686.7,6.0,1.0,3,11,18.0,22.0,2019.0,523.15,0.89,0.0,0.0,0.5221343488601424,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,235300.0,education,19,0.4811,0,20741.73,4818.954846428839,-3.035947963975052,76.76686155673205,0.2727272727272727,0.8181818181818182,54.54545454545454,7.0,31.78529252667184
B00053,40,rural,Rajasthan,6,17766.57,18678.3,28556.8,19215.5,14390.04,21876.86,seasonal,54,2,92.5,3135.93,21.0,0.0,8,10,6.0,7.0,2011.0,430.7,2.34,10.4,0.21,0.9385783309293751,4.0,4.0,2.0,5.0,5.0,4.0,2.0,3.0,191600.0,consumption,33,0.0566,0,20080.678333333333,4806.757069902395,23.134966400380044,76.06277541967633,0.8,0.8571428571428571,82.85714285714285,15.0,68.84808295153123
B00054,53,rural,Odisha,6,9789.01,11145.04,18125.63,10641.74,12092.47,25467.0,daily-wage,24,2,0.0,0.0,0.0,0.0,16,22,0.0,0.0,2020.0,204.94,1.03,0.0,0.0,0.5221343488601424,2.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,107800.0,business,25,0.5439,0,14543.481666666668,6124.385557345052,160.15909678302503,57.889137568880734,0.7272727272727273,0.7272727272727273,72.72727272727273,6.0,8.192307692307693
B00055,25,gig,Tamil Nadu,2,21469.72,10314.96,32884.51,31599.53,24322.88,27477.78,salaried-gig,11,3,41.7,1701.63,9.0,0.0,1,8,4.0,15.0,2022.0,573.72,1.05,10.0,0.406,0.4467708151528211,3.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,222300.0,business,57,0.5662,0,24678.23,8243.89762753517,27.98387682745745,66.59445338042813,0.125,0.26666666666666666,19.583333333333332,4.0,23.669389790079446
B00056,33,gig,Delhi,3,18306.49,37574.93,29708.71,23437.99,22711.85,18084.69,daily-wage,11,2,29.1,1616.62,12.0,0.0,3,13,3.0,9.0,2019.0,519.31,1.65,4.8,0.298,0.3052293844978465,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,57900.0,education,59,0.3607,0,24970.77666666667,7491.272048571368,-1.2115921730490273,69.99984362292015,0.23076923076923078,0.3333333333333333,28.205128205128204,7.0,29.342360807878052
B00057,34,rural,Odisha,7,11824.97,15785.26,32780.86,14732.99,11071.52,21058.22,seasonal,35,3,62.5,2819.11,18.0,1.0,15,21,5.0,15.0,2016.0,287.36,1.95,10.2,0.183,0.2604833667485097,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,286600.0,business,55,0.3542,0,17875.63666666667,8117.228501094858,78.08265052680898,54.59054884332405,0.7142857142857143,0.3333333333333333,52.38095238095239,10.0,63.995349943625804
